1,2013-07-25,256,PENDING_PAYMENT
2,2013-07-25,12111,COMPLETE
3,2013-07-25,cccc,CLOSED
4,2013-07-25,11318,COMPLETE
5,2013-07-25,aaaa,COMPLETE
6,2013-07-25,4530,COMPLETE
7,2013-07-25,2911,PROCESSING
8,2013-07-25,5657,PENDING_PAYMENT
9,2013-07-25,bbbb,PENDING_PAYMENT
10,2013-07-24,918,PAYMENT_REVIEW
11,2013-07-24,1837,CLOSED
12,2013-07-24,9149,PENDING_PAYMENT
13,2013-07-24,9842,PROCESSING
14,2013-07-24,cccc,COMPLETE
15,2013-07-24,7276,PENDING_PAYMENT
16,2013-07-24,2667,COMPLETE
17,2013-07-24,1205,CLOSED
18,2013-07-24,9488,PENDING_PAYMENT
19,2013-07-24,9198,PROCESSING